match_id;date_id;away_team;away_pts;home_pts;home_team
01072023CHI;79;UTA;126;118;CHI
01072023DAL;79;NOP;117;127;DAL
01072023GSW;79;ORL;115;101;GSW
01072023SAC;79;LAL;136;134;SAC
01072023SAS;79;BOS;116;121;SAS
01082023MIA;80;BKN;101;102;MIA
01082023TOR;80;POR;117;105;TOR
01082023PHX;80;CLE;112;98;PHX
01082023OKC;80;DAL;109;120;OKC
01082023LAC;80;ATL;112;108;LAC
01082023MEM;80;UTA;123;118;MEM
01082023HOU;80;MIN;104;96;HOU
01082023DET;80;PHI;111;123;DET
01082023IND;80;CHA;111;116;IND
01092023BOS;81;CHI;107;99;BOS
01092023DEN;81;LAL;109;122;DEN
01092023MEM;81;SAS;113;121;MEM
01092023NYK;81;MIL;107;111;NYK
01092023SAC;81;ORL;111;136;SAC
01092023WAS;81;NOP;112;132;WAS
01102023PHI;82;DET;147;116;PHI
01102023UTA;82;CLE;114;116;UTA
01102023TOR;82;CHA;132;120;TOR
01102023GSW;82;PHX;125;113;GSW
01102023LAC;82;DAL;101;113;LAC
01102023MIA;82;OKC;111;112;MIA
01102023POR;82;ORL;106;109;POR
01112023MEM;83;SAS;135;129;MEM
01112023DET;83;MIN;135;118;DET
01112023DEN;83;PHX;126;97;DEN
01112023SAC;83;HOU;115;135;SAC
01112023ATL;83;MIL;114;105;ATL
01112023WAS;83;CHI;100;97;WAS
01112023NYK;83;IND;113;119;NYK
01112023BOS;83;NOP;125;114;BOS
01122023PHI;84;OKC;133;114;PHI
01122023POR;84;CLE;113;119;POR
01122023LAL;84;DAL;119;115;LAL
01122023MIA;84;MIL;108;102;MIA
01122023TOR;84;CHA;114;124;TOR
01122023BKN;84;BOS;98;109;BKN
01132023CHI;85;OKC;124;110;CHI
01132023DET;85;NOP;116;110;DET
01132023IND;85;ATL;111;113;IND
01132023LAC;85;DEN;103;115;LAC
01132023MIN;85;PHX;116;121;MIN
01132023SAC;85;HOU;114;139;SAC
01132023SAS;85;GSW;113;144;SAS
01132023UTA;85;ORL;112;108;UTA
01132023WAS;85;NYK;112;108;WAS
01142023UTA;86;PHI;118;117;UTA
01142023TOR;86;ATL;103;114;TOR
01142023IND;86;MEM;130;112;IND
01142023MIN;86;CLE;102;110;MIN
01142023MIA;86;MIL;95;111;MIA
01142023CHA;86;BOS;122;106;CHA
01142023POR;86;DAL;136;119;POR
01152023POR;87;DAL;140;123;POR
01152023SAS;87;SAC;119;132;SAS
01152023LAL;87;PHI;113;112;LAL
01152023CHI;87;GSW;118;132;CHI
01152023DET;87;NYK;117;104;DET
01152023DEN;87;ORL;116;119;DEN
01152023BKN;87;OKC;112;102;BKN
01152023LAC;87;HOU;121;100;LAC
01162023ATL;88;MIA;121;113;ATL
01162023CHA;88;BOS;130;118;CHA
01162023CLE;88;NOP;113;103;CLE
01162023LAL;88;HOU;132;140;LAL
01162023MEM;88;PHX;106;136;MEM
01162023MIL;88;IND;119;132;MIL
01162023MIN;88;UTA;125;126;MIN
01162023NYK;88;TOR;121;123;NYK
01162023WAS;88;GSW;118;127;WAS
01172023SAS;89;BKN;106;98;SAS
01172023MIL;89;TOR;130;122;MIL
01172023LAC;89;PHI;110;120;LAC
